,Job Title,Company,Location,Experience,Salary,Link
1507,Data Analyst,Digital Solution Tech,Remote,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-digital-solution-tech-remote-4-to-9-years-201125502336
1508,Data Analyst - Adobe Target,Merkle B2b,"Pune, Madhubani",2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-adobe-target-merkle-inc-pune-madhubani-2-to-4-years-201125501789
1509,Data Analyst (P&C Insurance),Coforge,"Noida, Greater Noida, Delhi / NCR",4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-p-c-insurance-coforge-noida-greater-noida-delhi-ncr-4-to-6-years-201125036148
1510,Procurement Data Analyst,Empoweringcpo Services,Ahmedabad(South Bopal),1-3 Yrs,3-5 Lacs PA,https://www.naukri.com/job-listings-procurement-data-analyst-empoweringcpo-services-ahmedabad-1-to-3-years-200225026116
1511,Data Analyst,Natwest Digitalx,"Chennai, Gurugram",2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-natwest-digital-services-india-pvt-ltd-chennai-gurugram-2-to-4-years-191125931748
1512,FHIR Data Analyst,Infosys,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-fhir-data-analyst-infosys-limited-bengaluru-5-to-10-years-191125931518
1513,"Data Analyst, Dutch Language Translation",S&P Global Market Intelligence,Gurugram,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-dutch-language-translation-sp-capital-iq-india-pvt-ltd-gurugram-3-to-5-years-191125928791
1514,Data Analyst,Photon,Bengaluru,6-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-photon-interactive-pvt-ltd-bengaluru-6-to-9-years-191125925271
1515,Data Analyst,Virtusa,Chennai,7-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-chennai-7-to-12-years-191125915621
1516,Data Analyst,Zero Gravity Photography,Chennai,0-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-zero-gravity-photography-chennai-0-to-2-years-191125503577
1518,Data Analyst,Vandey Global Services,Bengaluru,4-9 Yrs,12-15 Lacs PA,https://www.naukri.com/job-listings-data-analyst-vandey-consultancy-services-bengaluru-4-to-9-years-191125028496
1519,Data Analyst,Niftel Communications,"Hybrid - Bengaluru, Delhi / NCR",4-7 Yrs,7-17 Lacs PA,https://www.naukri.com/job-listings-data-analyst-niftel-communications-bengaluru-delhi-ncr-4-to-7-years-191125026863
1520,Marine Data Analyst,Jibe Development Services,"Bhubaneswar, Navi Mumbai, Chennai",1-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-marine-data-analyst-jibe-development-services-bhubaneswar-navi-mumbai-chennai-1-to-2-years-191125014875
1521,data governance analyst,Sightspectrum,"Pune, Chennai, Bengaluru",6-11 Yrs,22.5-32.5 Lacs PA,https://www.naukri.com/job-listings-data-governance-analyst-sightspectrum-pune-chennai-bengaluru-6-to-11-years-191125014837
1522,Forensic Data Analyst,Plante Moran,Mumbai,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-forensic-data-analyst-plante-moran-mumbai-2-to-4-years-190825502081
1523,Data Analyst,Analyttica Datalab,Bengaluru,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-analyttica-datalab-bengaluru-2-to-5-years-181125019099
1524,LCMS Data Interpretation Analyst,Falcon Services,Bengaluru,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-lcms-data-interpretation-analyst-falcon-services-bengaluru-5-to-8-years-181125012761
1525,Data Analyst,Arunachal Pradesh Power Corporation,New Delhi,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-arunachal-pradesh-power-corporation-new-delhi-2-to-4-years-181125010996
1526,Data Analyst,Pri India It Services,Hybrid - Bengaluru,5-8 Yrs,10-16 Lacs PA,https://www.naukri.com/job-listings-data-analyst-pri-india-it-services-bengaluru-5-to-8-years-181125009487
1527,Data Analyst,ams OSRAM Group,New Delhi,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-ams-new-delhi-0-to-1-years-180725503877
1528,Data Analyst,Virtusa,Chennai,7-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-chennai-7-to-12-years-171125922954
1529,"Data Eng, Mgmt & Governance Analyst",Accenture,Mumbai,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-171125922297
1530,ServiceNow Developer - CMDB Data Analyst,Shashwath Solution,Bengaluru,5-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-servicenow-developer-cmdb-data-analyst-shashwath-solution-bengaluru-5-to-7-years-171125915390
1531,Data Governance Purview Analyst,Leading Client,Kanpur,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-kanpur-8-to-10-years-171125912590
1532,Data Governance Purview Analyst,Leading Client,Ahmedabad,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-ahmedabad-8-to-10-years-171125912557
1533,Data Governance Purview Analyst,Leading Client,Jaipur,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-jaipur-8-to-10-years-171125912554
